Track name,Artist name,Album,Playlist name,Type,ISRC,Spotify - id
"Teri Yaadein","Parwan Khan","Teri Yaadein","Sad🥺❤️","Playlist","QZHN82121182","2RlR63Usi29jZkQXE60l2e"
"Pee Loon","Pritam","Once Upon A Time In Mumbaai","Sad🥺❤️","Playlist","INS181006884","52itZ0w0CydihB2JCZEIft"
"Phir Mohabbat (From ""Murder 2"")","Mohammed Irfan","Ultimate Love Songs - Arijit Singh","Sad🥺❤️","Playlist","INS181101313","4RCd3Gdtt3dNedof64hqRD"
"Ijazat","Meet Bros.","One Night Stand","Sad🥺❤️","Playlist","INS181600531","1uwCYPAgiy5d7lPJvf0gf8"
"Tu Har Lamha (From ""Khamoshiyan"")","Bobby-Imran","Tu Har Lamha (From ""Khamoshiyan"")","Sad🥺❤️","Playlist","INS171402462","13tg1zpSfWyFQbv09a9LPD"
"Tum Mile","Pritam","Tum Mile (Original Motion Picture Soundtrack)","Sad🥺❤️","Playlist","INS170900404","1EjxJHY9A6LMOlvyZdwDly"
"Jeena Jeena","Sachin-Jigar","Badlapur (Original Motion Picture Soundtrack)","Sad🥺❤️","Playlist","GBSGZ1500292","5lKE040hUfDAKOR8HLG92p"
"Surili Akhiyon Wale - Duet","Sajid-Wajid","Veer (Original Motion Picture Soundtrack)","Sad🥺❤️","Playlist","GBSGZ0900124","1LbA0W3DLaZupqnhmA1WPZ"
"Aaj Se Teri","Amit Trivedi","Padman (Original Motion Picture Soundtrack)","Sad🥺❤️","Playlist","INZ031403097","0EwRpK9wY6lHfcJSt82w4x"
"Haule Haule","Salim–Sulaiman","Rab Ne Bana Di Jodi","Sad🥺❤️","Playlist","INY090800054","2UKK9UEbKlykbmLVP1zWIQ"
"Bijlee Bijlee","Harrdy Sandhu","Bijlee Bijlee","Sad🥺❤️","Playlist","INUM72100076","1iZLpuGMr4tn1F5bZu32Kb"
"Powerhouse (From ""Coolie The Powerhouse"") (Hindi)","Anirudh Ravichander","Powerhouse (From ""Coolie The Powerhouse"") (Hindi)","Sad🥺❤️","Playlist","QMDA62589787","3GRxmioEL8CytKeANSlfhs"
"Tu Zaroori","Shaarib Toshi","Zid (Original Motion Picture Soundtrack)","Sad🥺❤️","Playlist","INS171402343","6ZXAYLZMZfI8RxRydhbqr7"
"Barbaad","The Rish","Saiyaara","Sad🥺❤️","Playlist","INY092500015","3fDHLGL5SYrf65ysmOhyqc"
"Attention","Charlie Puth","Voicenotes","Sad🥺❤️","Playlist","USAT21700928","5cF0dROlMOK5uNZtivgu50"
"I Really Do...","Karan Aujla","P-POP CULTURE","Sad🥺❤️","Playlist","CAW112500962","2Dp6icDc5dvYnWvxZOjj75"
"Blue Eyes","Yo Yo Honey Singh","Blue Eyes","Sad🥺❤️","Playlist","INS181306486","7wW9scVNLYFLsmBb1yAUmS"
