Track name,Artist name,Album,Playlist name,Type,ISRC,Spotify - id
"Gulabi","Sachin-Jigar","Shuddh Desi Romance","Sad🥺❤️","Playlist","INY091300039","22kRCQPyNXWZSQEcDvCmGD"
"Love Dose","Yo Yo Honey Singh","Desi Kalakaar","Sad🥺❤️","Playlist","INS181402053","1QZRCi2Z1DQQaR6bGAzhtN"
"Rang Lageya","Mohit Chauhan","Rang Lageya","Sad🥺❤️","Playlist","INH102100164","7mSzDKajY2wUtstQSLdzMK"
"Mehrma","The PropheC","Midnight Paradise","Sad🥺❤️","Playlist","UKD572201701","549N4ogKjnr1GOlpSRruHZ"
"Baarish Mein Phir","Saahel","Baarish Mein Phir","Sad🥺❤️","Playlist","INUM72500825","3PbjRHCyZmK84h0qMMIRPw"
"Thinking of You","AP Dhillon","Thinking of You","Sad🥺❤️","Playlist","USUG12600914","0rSU2KwpOCqLVDCPwd4WbE"
"Mast Magan","Arijit Singh","2 States","Sad🥺❤️","Playlist","INS181400606","3uL1IBFhg52VcQqOwAG01E"
"Main Rang Sharbaton Ka","Atif Aslam","Phata Poster Nikhla Hero (Original Motion Picture Soundtrack)","Sad🥺❤️","Playlist","INT101303505","1yYM7dY6wSJFp5qmxPRLu1"
"Pia","Mitraz","Pia","Sad🥺❤️","Playlist","QZZ7S2495952","7vdFTMJJeFUDIHIbOwy3vH"
"Mere Nishan","Monu Music India","Mere Nishan","Sad🥺❤️","Playlist","GX5H92100298","0YoHCgKVvZyHrfNdUIlqXA"
"By My Side","AP Dhillon","By My Side","Sad🥺❤️","Playlist","USUG12507169","2mt3QHYbKBMdSTIfzSFsYH"
"Teri Khair Mangdi","Bilal Saeed","Baar Baar Dekho (Original Motion Picture Soundtrack)","Sad🥺❤️","Playlist","INZ031401553","4HceynRFeONXIHTq4X1q2N"
"Sajde (From ""Khatta Meetha"")","Pritam","Teri Yaadon Mein - K.K.","Sad🥺❤️","Playlist","INS181006841","195otJazf8VgxcFpbhZqhJ"
"Fallin for You","Shrey Singhal","Fallin for You","Sad🥺❤️","Playlist","FR2X41906071","2HTCl86zL6OWlAzygANfwW"
"Yaadein","Tune Host","KUCH RISHTE","Sad🥺❤️","Playlist","QT6FP2529792","6zYMYwFsXyX70V8yn56KoL"
"Saadi Galli Aaja","Rochak Kohli","Nautanki Saala !","Sad🥺❤️","Playlist","INS181302177","6riCsiX9csuomBYnenrtGd"
"Aarzu","Noor","Aarzu","Sad🥺❤️","Playlist","US6R22561374","0wHYuCTWPntEgWiUVED4wB"
"Mitti Di Khushboo","Rochak Kohli","Mitti Di Khushboo","Sad🥺❤️","Playlist","INS181402294","7tp4iYvcZksGp1u7feUrrO"
"Kyun Main Jaagoon","Shafqat Amanat Ali","Patiala House","Sad🥺❤️","Playlist","INS181009729","6wsMVa2M6Ktea2UbnVoMvO"
"Mann Ki Lagan","Rahat Fateh Ali Khan","Paap","Sad🥺❤️","Playlist","INH100360840","0s8fGVzyn6URNrUVwCE3dV"
"Pyar Diwana Hota Hai","Kishore Kumar","Kati Patang","Sad🥺❤️","Playlist","INH109544100","0Yu6DMaU2w0777Ek5XQNyI"
"Masakali","Mohit Chauhan","Delhi-6","Sad🥺❤️","Playlist","INS180900091","5iyNH1Dmxif1k4Nl1gMeuh"
"Abhi Kuch Dino Se","Pritam","Dil Toh Baccha Hai Ji","Sad🥺❤️","Playlist","INS181009718","1QufGJee7k9v4Cfp2NxXbv"
"Chandi Jaisa Rang Hai","Pankaj Udhas","Niklo Na Benaqab (Vol. 1)","Sad🥺❤️","Playlist","CA5KR2056752","2txn2EWHY6ekY3FAZOSTHW"
"Raabta","Pritam","Agent Vinod","Sad🥺❤️","Playlist","INS181200529","6FjbAnaPRPwiP3sciEYctO"
"Chalta Rahe Tera Mera Yarana","Indori Artist","Chalta Rahe Tera Mera Yarana","Sad🥺❤️","Playlist","QZNWR2076297","56qocMXrcsaeKXaH07TGYP"
"chaandni","sufr","chaandni","Sad🥺❤️","Playlist","CHF032419190","1dgGz86ucJX54K5oVndiHI"
"Udaarian","Satinder Sartaaj","Seasons of Sartaaj","Sad🥺❤️","Playlist","INS921801415","3K3mo4LoxPKk18oqIC3hQC"
"Waalian","Harnoor","Waalian","Sad🥺❤️","Playlist","ING501802584","68AyTcvyK46hpzwohHUkJI"
"Ishq Di Baajiyaan","Shankar-Ehsaan-Loy","Soorma (Original Motion Picture Soundtrack [Deluxe Edition])","Sad🥺❤️","Playlist","INS171801968","7AAap8D4C4pTyNoMkM9vjG"
"Such Keh Raha Hai","KK","Rehnaa Hai Terre Dil Mein","Sad🥺❤️","Playlist","INH100152410","0ypgFw67lNEpoKFUxUV0tG"
"Main Yahaan Hoon","Madan Mohan","Veer - Zaara","Sad🥺❤️","Playlist","INY090400016","3OAFzjwWionh8OfM4kgf2R"
"Majboor - Unplugged","Sheheryar Rehan","Majboor (Unplugged)","Sad🥺❤️","Playlist","US39N2613853","2g0EhuUsi384ZOK16iUGuc"
"Kinna Sona","Sunil Kamath","Bhaag Johnny","Sad🥺❤️","Playlist","INS181501355","2gXZp1zDDA5bnPsLwrSMRj"
"Sun Saathiya","Divya Kumar","ABCD 2 (Original Motion Picture Soundtrack)","Sad🥺❤️","Playlist","INZ031400628","5a2Hoi1wuhCA6Ob7pbOlpW"
"Humsafar (From ""Badrinath Ki Dulhania"")","Akhil Sachdeva","Best Of Akhil Sachdeva","Sad🥺❤️","Playlist","INS181700239","7aE1lfskJLMHQnzCCP1zsV"
"Tere Mast Mast Do Nain","Rahat Fateh Ali Khan","Dabangg","Sad🥺❤️","Playlist","INS181007458","2WnpXcXoX1vYvERYG3eKlT"
"Tabah","Mohit Chauhan","Heropanti","Sad🥺❤️","Playlist","INS181400870","1e83DKixcGxhymeItWkyug"
"Tay Hai","Ankit Tiwari","Rustom (Original Motion Picture Soundtrack)","Sad🥺❤️","Playlist","INZ031401258","67bjMH6zyv0d8bJps5BTVD"
"Rootha Kyun","Shaarib","1920 London","Sad🥺❤️","Playlist","INS181600642","7e9NKyM3xIVCpkcuHKUX7R"
"Meherbaan","Shilpa Rao","Bang Bang (Original Motion Picture Soundtrack)","Sad🥺❤️","Playlist","INZ031400143","2kY6ClO5UR6EUODx720Kkx"
"Zehnaseeb","Vishal-Shekhar","Hasee Toh Phasee (Original Motion Picture Soundtrack)","Sad🥺❤️","Playlist","INS171301714","3xF15SqY32Mno3UUMBirhU"
"Aashiq Banaya Aapne (From ""Hate Story Iv"")","Himesh Reshammiya","Aashiq Banaya Aapne (From ""Hate Story Iv"")","Sad🥺❤️","Playlist","INS181800212","7kfGvOOykB24QxFKZq5LUV"
"Ik Mulaqaat - From ""Dream Girl""","Meet Bros.","Dream Girl (Original Motion Picture Soundtrack)","Sad🥺❤️","Playlist","INZ031405974","55B3iMvqP2OHTOi41WKj2X"
"Darkhaast","Mithoon","Shivaay","Sad🥺❤️","Playlist","INS181601644","1awtp7rf6ajhGY9BgzCHeZ"
"Baarish","Shashaa Tirupati","Valentines Special","Sad🥺❤️","Playlist","INZ031402270","3jnSt2tdPBUduMTRipkIBF"
"Yeh Fitoor Mera","Amit Trivedi","Fitoor (Original Motion Picture Soundtrack)","Sad🥺❤️","Playlist","INZ031401158","7kvLAPEnEPlSbhZDlHFv0p"
"Haareya","Sachin-Jigar","Meri Pyaari Bindu","Sad🥺❤️","Playlist","INY091700004","1VvGJIAjhGdB7InVP9NA7V"
"Aadat","Ninja","Aadat","Sad🥺❤️","Playlist","FR2X41608569","12TxeF1dTrc2bxQcEl9NyA"
"Dil Ye Bekarar Kyun Hai","Pritam","Players","Sad🥺❤️","Playlist","INS181104249","074jI4LCbzZxhm223m6ori"
"Saans","A.R. Rahman","Jab Tak Hai Jaan","Sad🥺❤️","Playlist","INY091200033","3X5Jbz7VhZfbPqIRmYIj8c"
"Akhiyaan","Mitraz","Akhiyaan","Sad🥺❤️","Playlist","QZDA62245851","2l3dFxtoSMgMQVyRIUHjpz"
"Haaye Oye (feat. Ash King & Nikhil Deepak Paralikar) - The Tabla Guy Mix","QARAN","Haaye Oye (feat. Ash King & Nikhil Deepak Paralikar) [The Tabla Guy Mix]","Sad🥺❤️","Playlist","INS171902244","7jRisqlHCN61KnveWf9INW"
"Kina Chir","The PropheC","The Lifestyle","Sad🥺❤️","Playlist","UKD571600502","2jrKt7TeBeDtmLBZ3grQQj"
